id,city,temperature,feels_like,humidity,pressure,wind_speed,clouds,description,timestamp,record_date
1,Hà Nội,24.0,24.47,77,1012,1.82,100,mây đen u ám,2025-11-11 17:36:59,2025-11-11
2,Hải Phòng,23.95,24.44,78,1011,1.03,20,mây thưa,2025-11-11 17:37:00,2025-11-11
3,Hà Giang,20.55,21.19,97,1013,0.47,100,mây đen u ám,2025-11-11 17:37:01,2025-11-11
4,Cao Bằng,20.52,20.85,85,1013,0.95,99,mây đen u ám,2025-11-11 17:37:02,2025-11-11
13,Hà Nội,18.0,17.68,70,1024,2.97,100,mây đen u ám,2025-11-19 16:23:57,2025-11-19
14,Hải Phòng,15.95,15.25,63,1023,3.09,0,bầu trời quang đãng,2025-11-19 16:23:58,2025-11-19
15,Hà Giang,15.88,15.51,76,1024,0.82,98,mưa nhẹ,2025-11-19 16:23:59,2025-11-19
16,Cao Bằng,15.58,15.23,78,1024,0.45,100,mây đen u ám,2025-11-19 16:24:00,2025-11-19
