city,temperature,feels_like,humidity,pressure,wind_speed,clouds,description,timestamp,record_date
Hà Nội,16,15.82,83,1026,2.67,95,mây đen u ám,2025-11-19 21:13:53.849917,2025-11-19
Hải Phòng,14.95,14.25,67,1025,1.54,0,bầu trời quang đãng,2025-11-19 21:13:55.191594,2025-11-19
Đà Nẵng,19.99,20.34,88,1021,7.72,75,mây cụm,2025-11-19 21:13:55.814621,2025-11-19
Cần Thơ,24.99,26.16,100,1011,1.54,75,mây cụm,2025-11-19 21:13:56.485701,2025-11-19
An Giang,24.15,24.94,89,1012,4.72,100,mây đen u ám,2025-11-19 21:13:57.111563,2025-11-19
Bạc Liêu,25.46,26.41,90,1011,7.35,97,mây đen u ám,2025-11-19 21:13:58.387531,2025-11-19
Bắc Kạn,13.01,12.74,91,1027,0.84,98,mây đen u ám,2025-11-19 21:13:59.081405,2025-11-19
Bắc Giang,14.46,14.02,79,1026,3.09,91,mây đen u ám,2025-11-19 21:13:59.832844,2025-11-19
Bắc Ninh,16.05,15.85,82,1026,3.23,93,mây đen u ám,2025-11-19 21:14:00.480761,2025-11-19
Bến Tre,23.8,24.69,94,1011,1.27,100,mây đen u ám,2025-11-19 21:14:01.109474,2025-11-19
Bình Dương,22.03,22.8,96,1017,7.49,100,mây đen u ám,2025-11-19 21:14:01.798701,2025-11-19
Bình Định,20.84,21.38,92,1022,1.49,100,mây đen u ám,2025-11-19 21:14:02.489681,2025-11-19
Cà Mau,24.33,25.3,95,1011,3.38,99,mưa nhẹ,2025-11-19 21:14:04.697817,2025-11-19
Cao Bằng,13.6,13.16,82,1027,0.28,81,mây cụm,2025-11-19 21:14:05.346884,2025-11-19
Gia Lai,19.78,19.77,75,1015,4.22,100,mây đen u ám,2025-11-19 21:14:10.446549,2025-11-19
Hà Giang,14.36,14.1,86,1026,0.45,100,mây đen u ám,2025-11-19 21:14:11.080352,2025-11-19
Hà Nam,21.06,21.13,73,1022,3.6,75,mây cụm,2025-11-19 21:14:11.730104,2025-11-19
Hà Tĩnh,14.69,14.33,81,1025,3.33,100,mây đen u ám,2025-11-19 21:14:12.396816,2025-11-19
Hòa Bình,13.62,13.41,91,1026,1.11,90,mây đen u ám,2025-11-19 21:14:14.747403,2025-11-19
Hưng Yên,14.59,14.25,82,1026,2.89,100,mây đen u ám,2025-11-19 21:14:15.382296,2025-11-19
Khánh Hòa,24.11,24.82,86,1012,5.51,94,mưa nhẹ,2025-11-19 21:14:16.063673,2025-11-19
Kon Tum,18.74,18.68,77,1017,3.5,96,mây đen u ám,2025-11-19 21:14:17.513544,2025-11-19
Lai Châu,8.22,7.45,90,1026,1.66,67,mây cụm,2025-11-19 21:14:18.173864,2025-11-19
Lạng Sơn,10.83,10.16,84,1027,1.62,97,mây đen u ám,2025-11-19 21:14:19.665896,2025-11-19
Lào Cai,13.99,13.79,90,1027,0.42,73,mây cụm,2025-11-19 21:14:20.314419,2025-11-19
Long An,23.86,24.65,90,1012,3.35,100,mây đen u ám,2025-11-19 21:14:20.963983,2025-11-19
Nam Định,14.74,14.33,79,1026,3.89,100,mây đen u ám,2025-11-19 21:14:21.665671,2025-11-19
Ninh Bình,14.48,14.18,84,1026,2.92,100,mây đen u ám,2025-11-19 21:14:23.146659,2025-11-19
Phú Thọ,23.85,24.8,96,1013,6,100,mưa nhẹ,2025-11-19 21:14:24.613083,2025-11-19
Quảng Ngãi,20.21,20.77,95,1020,5.36,100,mưa vừa,2025-11-19 21:14:27.780873,2025-11-19
Quảng Trị,19.83,20.11,86,1022,5.23,100,mưa nhẹ,2025-11-19 21:14:29.246851,2025-11-19
Sóc Trăng,24.94,25.92,93,1011,5.37,93,mưa nhẹ,2025-11-19 21:14:29.915190,2025-11-19
Sơn La,11.16,10.76,93,1026,0.76,90,mây đen u ám,2025-11-19 21:14:30.663473,2025-11-19
Tây Ninh,-1.01,-3.23,27,1033,1.71,100,mây đen u ám,2025-11-19 21:14:31.380734,2025-11-19
Thái Bình,14.54,14.01,75,1025,3.67,100,mây đen u ám,2025-11-19 21:14:32.059032,2025-11-19
Thái Nguyên,-0.08,-0.08,55,1030,1,0,bầu trời quang đãng,2025-11-19 21:14:32.698440,2025-11-19
Thanh Hóa,14.47,14.17,84,1026,1.98,100,mây đen u ám,2025-11-19 21:14:33.414460,2025-11-19
Trà Vinh,24.86,25.8,92,1011,4.56,64,mưa nhẹ,2025-11-19 21:14:35.864768,2025-11-19
Tuyên Quang,14.73,14.43,83,1026,0.81,99,mây đen u ám,2025-11-19 21:14:36.581111,2025-11-19
Vĩnh Long,24.21,25.17,95,1012,2.19,62,mây cụm,2025-11-19 21:14:37.230237,2025-11-19
Vĩnh Phúc,13.19,12.73,83,1026,2.45,99,mây đen u ám,2025-11-19 21:14:37.897028,2025-11-19
Yên Bái,14.3,14.08,88,1026,0.34,93,mây đen u ám,2025-11-19 21:14:38.613895,2025-11-19
