city,temperature,feels_like,humidity,pressure,wind_speed,clouds,description,timestamp,record_date
Hà Nội,22,21.51,48,1026,4.16,10,bầu trời quang đãng,2025-11-21 10:28:52.204071,2025-11-21
Hải Phòng,21.95,21.32,43,1025,4.12,0,bầu trời quang đãng,2025-11-21 10:28:53.890745,2025-11-21
Đà Nẵng,20.99,21.31,83,1022,2.06,75,mây cụm,2025-11-21 10:28:54.611553,2025-11-21
Cần Thơ,25.99,25.99,83,1013,3.6,75,mây cụm,2025-11-21 10:28:55.301004,2025-11-21
An Giang,27.48,30.02,73,1013,7.24,57,mây cụm,2025-11-21 10:28:56.007571,2025-11-21
Bạc Liêu,27.02,29.78,80,1013,5.73,99,mây đen u ám,2025-11-21 10:28:57.794711,2025-11-21
Bắc Kạn,21.05,20.52,50,1026,1.25,3,bầu trời quang đãng,2025-11-21 10:28:58.467793,2025-11-21
Bắc Giang,21.85,21.24,44,1026,6.37,7,bầu trời quang đãng,2025-11-21 10:28:59.112640,2025-11-21
Bắc Ninh,22.05,21.51,46,1026,6,7,bầu trời quang đãng,2025-11-21 10:28:59.722874,2025-11-21
Bến Tre,28.7,31.92,69,1013,1.88,65,mây cụm,2025-11-21 10:29:00.382260,2025-11-21
Bình Dương,20.55,21.12,94,1018,7.02,99,mây đen u ám,2025-11-21 10:29:01.024081,2025-11-21
Bình Định,17.84,18.13,94,1024,0.84,100,mây đen u ám,2025-11-21 10:29:01.745994,2025-11-21
Cà Mau,26.1,26.1,77,1013,4.28,100,mây đen u ám,2025-11-21 10:29:04.019997,2025-11-21
Cao Bằng,19.55,18.97,54,1027,1.93,50,mây rải rác,2025-11-21 10:29:04.724925,2025-11-21
Gia Lai,23.71,23.83,65,1016,4.58,88,mây đen u ám,2025-11-21 10:29:09.163632,2025-11-21
Hà Giang,19.05,18.68,64,1027,0.58,100,mây đen u ám,2025-11-21 10:29:09.775245,2025-11-21
Hà Nam,18.06,18.38,94,1024,3.09,75,mây cụm,2025-11-21 10:29:10.417805,2025-11-21
Hà Tĩnh,18.66,18.44,71,1026,4.84,100,mây đen u ám,2025-11-21 10:29:11.090629,2025-11-21
Hòa Bình,20.65,20.21,55,1026,1.41,10,bầu trời quang đãng,2025-11-21 10:29:13.771868,2025-11-21
Hưng Yên,21.46,20.89,47,1026,5.36,12,mây thưa,2025-11-21 10:29:14.398914,2025-11-21
Khánh Hòa,27.39,29.63,71,1014,7.72,32,mây rải rác,2025-11-21 10:29:15.044073,2025-11-21
Kon Tum,21.86,21.9,69,1017,4.15,100,mây đen u ám,2025-11-21 10:29:17.647255,2025-11-21
Lai Châu,16.41,15.75,63,1025,0.27,0,bầu trời quang đãng,2025-11-21 10:29:18.288663,2025-11-21
Lạng Sơn,18.26,17.53,53,1026,5.01,2,bầu trời quang đãng,2025-11-21 10:29:19.753013,2025-11-21
Lào Cai,20.35,20.16,66,1027,0.81,46,mây rải rác,2025-11-21 10:29:20.375227,2025-11-21
Long An,28.56,31.95,71,1013,4.15,44,mây rải rác,2025-11-21 10:29:21.048026,2025-11-21
Nam Định,21.27,20.73,49,1026,5.24,12,mây thưa,2025-11-21 10:29:21.706344,2025-11-21
Ninh Bình,21.19,20.64,49,1026,5.88,12,mây thưa,2025-11-21 10:29:23.117832,2025-11-21
Phú Thọ,25.63,26.52,87,1014,6.27,100,mưa nhẹ,2025-11-21 10:29:24.527883,2025-11-21
Quảng Ngãi,19.16,19.61,95,1021,3.89,100,mây đen u ám,2025-11-21 10:29:27.586438,2025-11-21
Quảng Trị,19.86,20.07,83,1023,3.8,100,mây đen u ám,2025-11-21 10:29:28.983431,2025-11-21
Sóc Trăng,27.91,31.44,77,1013,4.37,99,mây đen u ám,2025-11-21 10:29:29.578319,2025-11-21
Sơn La,17.33,16.71,61,1026,1.35,2,bầu trời quang đãng,2025-11-21 10:29:30.205379,2025-11-21
Tây Ninh,-0.64,-0.64,29,1032,0.72,95,mây đen u ám,2025-11-21 10:29:30.881682,2025-11-21
Thái Bình,21.52,20.95,47,1026,4.41,12,mây thưa,2025-11-21 10:29:31.538726,2025-11-21
Thái Nguyên,5.92,5.92,26,1033,1,0,bầu trời quang đãng,2025-11-21 10:29:32.213753,2025-11-21
Thanh Hóa,21.24,20.73,50,1026,5.48,23,mây thưa,2025-11-21 10:29:32.824020,2025-11-21
Trà Vinh,28.24,31.74,74,1013,2.51,97,mây đen u ám,2025-11-21 10:29:36.037608,2025-11-21
Tuyên Quang,20.97,20.69,60,1027,0.99,0,bầu trời quang đãng,2025-11-21 10:29:36.665666,2025-11-21
Vĩnh Long,28.31,32.55,78,1013,3.68,100,mây đen u ám,2025-11-21 10:29:37.309782,2025-11-21
Vĩnh Phúc,18.6,18.29,68,1026,3.98,100,mây đen u ám,2025-11-21 10:29:37.921015,2025-11-21
Yên Bái,20.31,20.02,62,1027,1.32,3,bầu trời quang đãng,2025-11-21 10:29:38.548157,2025-11-21
