city,temperature,feels_like,humidity,pressure,wind_speed,clouds,description,timestamp,record_date
Hà Nội,16,15.77,81,1026,2.4,100,mây đen u ám,2025-11-19 19:32:18.120115,2025-11-19
Hải Phòng,14.95,14.25,67,1025,1.54,0,mưa vừa,2025-11-19 19:32:19.438312,2025-11-19
Đà Nẵng,20.99,21.31,83,1021,7.72,75,mây cụm,2025-11-19 19:32:20.102371,2025-11-19
Cần Thơ,24.99,26.16,100,1010,5.14,75,mây cụm,2025-11-19 19:32:20.736562,2025-11-19
An Giang,24.32,25.26,94,1010,5.3,89,mưa nhẹ,2025-11-19 19:32:21.395803,2025-11-19
Bạc Liêu,25.66,26.61,89,1011,7.52,95,mây đen u ám,2025-11-19 19:32:22.770319,2025-11-19
Bắc Kạn,13.88,13.7,91,1026,0.5,100,mây đen u ám,2025-11-19 19:32:23.431449,2025-11-19
Bắc Giang,15.29,14.86,76,1026,2.85,100,mây đen u ám,2025-11-19 19:32:24.114119,2025-11-19
Bắc Ninh,16.05,15.75,78,1025,2.68,100,mây đen u ám,2025-11-19 19:32:24.761134,2025-11-19
Bến Tre,24.23,25.08,91,1011,2.47,99,mây đen u ám,2025-11-19 19:32:25.468978,2025-11-19
Bình Dương,22.28,23.07,96,1017,7.34,100,mưa nhẹ,2025-11-19 19:32:26.134127,2025-11-19
Bình Định,19.84,20.2,89,1022,1.67,100,mây đen u ám,2025-11-19 19:32:26.791918,2025-11-19
Cà Mau,24.57,25.54,94,1011,3.84,100,mây đen u ám,2025-11-19 19:32:28.884014,2025-11-19
Cao Bằng,14.05,13.63,81,1026,0.16,93,mây đen u ám,2025-11-19 19:32:29.545081,2025-11-19
Gia Lai,19.97,20.03,77,1015,4.39,100,mây đen u ám,2025-11-19 19:32:34.181178,2025-11-19
Hà Giang,14.5,14.25,86,1026,0.48,100,mưa nhẹ,2025-11-19 19:32:34.794586,2025-11-19
Hà Nam,20.06,20.29,83,1022,5.66,75,mây cụm,2025-11-19 19:32:35.443144,2025-11-19
Hà Tĩnh,14.72,14.39,82,1025,3.4,100,mây đen u ám,2025-11-19 19:32:36.184422,2025-11-19
Hòa Bình,14.21,14.06,91,1026,1.16,93,mây đen u ám,2025-11-19 19:32:38.426298,2025-11-19
Hưng Yên,15.02,14.59,77,1025,3.38,100,mây đen u ám,2025-11-19 19:32:39.392615,2025-11-19
Khánh Hòa,24.29,25.05,87,1012,6.08,100,mưa vừa,2025-11-19 19:32:40.030769,2025-11-19
Kon Tum,19.13,19.06,75,1016,3.57,100,mây đen u ám,2025-11-19 19:32:41.566633,2025-11-19
Lai Châu,9.58,8.86,87,1024,1.82,86,mây đen u ám,2025-11-19 19:32:42.454257,2025-11-19
Lạng Sơn,10.93,10.27,84,1027,1.98,98,mây đen u ám,2025-11-19 19:32:43.857233,2025-11-19
Lào Cai,13.77,13.6,92,1026,0.62,47,mây rải rác,2025-11-19 19:32:44.540335,2025-11-19
Long An,24.25,25.05,89,1011,3.19,96,mây đen u ám,2025-11-19 19:32:45.207686,2025-11-19
Nam Định,14.88,14.43,77,1025,4.59,100,mây đen u ám,2025-11-19 19:32:45.879609,2025-11-19
Ninh Bình,14.62,14.3,83,1026,3.38,100,mây đen u ám,2025-11-19 19:32:47.416173,2025-11-19
Phú Thọ,23.76,24.7,96,1012,4.61,100,mây đen u ám,2025-11-19 19:32:48.800501,2025-11-19
Quảng Ngãi,20.33,20.93,96,1020,5.29,100,mưa vừa,2025-11-19 19:32:51.819485,2025-11-19
Quảng Trị,19.82,20.08,85,1022,5.35,100,mây đen u ám,2025-11-19 19:32:53.462129,2025-11-19
Sóc Trăng,25.1,26.09,93,1010,5.3,96,mây đen u ám,2025-11-19 19:32:54.095529,2025-11-19
Sơn La,11.36,11.01,94,1025,0.98,100,mây đen u ám,2025-11-19 19:32:54.919860,2025-11-19
Tây Ninh,-1.15,-3.5,30,1032,1.78,100,mây đen u ám,2025-11-19 19:32:55.571198,2025-11-19
Thái Bình,14.57,13.99,73,1025,4.39,100,mưa nhẹ,2025-11-19 19:32:56.217646,2025-11-19
Thái Nguyên,0.92,0.92,51,1029,1,0,bầu trời quang đãng,2025-11-19 19:32:57.006179,2025-11-19
Thanh Hóa,14.55,14.15,80,1025,2.31,100,mây đen u ám,2025-11-19 19:32:57.682759,2025-11-19
Trà Vinh,25.13,26.07,91,1011,5.17,97,mây đen u ám,2025-11-19 19:32:59.900252,2025-11-19
Tuyên Quang,14.96,14.73,85,1026,0.67,98,mưa nhẹ,2025-11-19 19:33:00.551131,2025-11-19
Vĩnh Long,25.37,26.39,93,1010,5.77,97,mây đen u ám,2025-11-19 19:33:01.270491,2025-11-19
Vĩnh Phúc,13.2,12.74,83,1026,2.78,98,mây đen u ám,2025-11-19 19:33:02.184762,2025-11-19
Yên Bái,14.9,14.72,87,1026,0.46,91,mây đen u ám,2025-11-19 19:33:03.059832,2025-11-19
